,fighter,current_lose_streak,current_win_streak,avg_head_landed,avg_KD,avg_sig_str_landed,avg_td_landed,avg_total_str_landed,longest_winning_streak,losses,total_title_bouts,win_by_ko/tko,wins,stance,height_cms,reach_cms,weight_lbs,age,total_fights
0,Henry Cejudo,0,4,23.9,0.4,44.0,1.9,69.1,4,2,3,2,8,Orthodox,162.56,162.56,135.0,32.0,10
1,Valentina Shevchenko,0,2,37.0,0.0,59.42857143,2.4285714290000002,102.8571429,2,2,2,0,5,Southpaw,165.1,167.64,125.0,31.0,7
2,Tony Ferguson,0,11,35.6,0.2,55.46666667,0.4,63.4,11,1,2,3,14,Orthodox,180.34,193.04,155.0,35.0,15
3,Aljamain Sterling,0,3,23.33333333,0.0,52.25,1.75,85.75,4,3,0,1,9,Orthodox,170.18,180.34,135.0,29.0,12
5,Eddie Wineland,2,0,27.08333333,0.5,35.75,0.166666667,38.75,2,7,1,4,5,Orthodox,170.18,175.26,135.0,34.0,12
6,Katlyn Chookagian,1,0,37.16666667,0.166666667,61.16666667,0.0,73.33333333,3,2,0,0,4,Orthodox,175.26,172.72,125.0,30.0,6
7,Makwan Amirkhani,0,1,15.4,0.2,16.4,2.4,24.8,3,1,0,1,4,Southpaw,177.8,182.88,145.0,30.0,5
10,Rafael Dos Anjos,2,0,27.30769231,0.192307692,47.92307692,1.730769231,67.96153846,5,9,4,4,17,Southpaw,172.72,177.8,170.0,34.0,26
11,Vicente Luque,0,4,26.7,0.6,38.8,0.6,45.7,4,2,0,5,8,Orthodox,180.34,190.5,170.0,27.0,10
12,Charles Oliveira,0,4,11.13043478,0.086956522,20.56521739,1.3043478259999999,31.04347826,4,9,0,0,14,Orthodox,177.8,187.96,155.0,29.0,23
15,Desmond Green,0,1,29.33333333,0.166666667,44.33333333,1.0,49.66666667,1,3,0,1,3,Southpaw,177.8,185.42,155.0,29.0,6
16,Zak Cummings,0,1,17.9,0.3,28.9,0.7,39.9,2,3,0,1,7,Southpaw,182.88,190.5,185.0,34.0,10
18,Jared Cannonier,0,1,25.25,0.25,32.375,0.125,41.0,2,4,0,3,4,Switch,180.34,195.58,185.0,35.0,8
21,Warlley Alves,1,0,18.44444444,0.111111111,31.55555556,0.8888888890000001,41.77777778,4,3,1,0,6,Orthodox,180.34,182.88,170.0,28.0,9
23,Derek Brunson,2,0,14.07142857,0.35714285700000004,18.5,0.9285714290000001,36.78571429,5,5,0,6,9,Southpaw,185.42,195.58,185.0,35.0,14
24,Walt Harris,1,0,13.90909091,0.545454545,21.09090909,0.181818182,24.18181818,2,7,0,4,4,Southpaw,195.58,195.58,250.0,35.0,11
25,Nordine Taleb,2,0,18.5,0.2,35.7,1.6,53.1,3,4,0,2,6,Orthodox,185.42,187.96,170.0,37.0,10
28,Glover Teixeira,0,1,26.375,0.25,30.4375,1.3125,50.0625,5,5,1,4,11,Orthodox,187.96,193.04,205.0,39.0,16
30,Gilbert Burns,0,1,19.6,0.3,31.7,1.6,42.4,3,3,0,2,7,Orthodox,177.8,180.34,155.0,32.0,10
31,Jim Miller,1,0,16.90322581,0.09677419400000001,28.58064516,1.161290323,41.58064516,7,13,0,3,18,Southpaw,172.72,180.34,155.0,35.0,31
32,Angela Hill,2,0,41.11111111,0.222222222,69.55555556,0.333333333,82.22222222,1,6,0,0,3,Orthodox,160.02,162.56,115.0,34.0,9
33,Alistair Overeem,0,1,13.4,0.533333333,29.46666667,0.26666666699999997,39.8,4,6,1,6,9,Orthodox,193.04,203.2,265.0,38.0,15
34,Islam Makhachev,0,4,13.16666667,0.166666667,16.83333333,2.166666667,37.16666667,4,1,0,1,5,Orthodox,177.8,177.8,155.0,27.0,6
36,Krzysztof Jotko,3,0,22.1,0.2,34.5,0.9,70.4,5,4,0,1,6,Southpaw,185.42,195.58,185.0,29.0,10
38,Alexander Yakovlev,2,0,11.33333333,0.333333333,23.0,1.0,26.66666667,2,4,0,1,2,Southpaw,190.5,187.96,155.0,34.0,6
40,Max Griffin,2,0,37.83333333,0.666666667,52.16666667,0.5,61.33333333,1,4,0,1,2,Orthodox,180.34,193.04,170.0,33.0,6
43,Josh Emmett,1,0,25.5,1.0,46.16666667,1.5,50.83333333,2,2,0,1,4,Orthodox,167.64,177.8,145.0,34.0,6
48,Curtis Blaydes,1,0,27.5,0.125,38.25,4.125,68.125,4,3,0,2,5,Orthodox,193.04,203.2,265.0,28.0,8
49,John Makdessi,0,2,33.53333333,0.4,61.33333333,0.0,66.13333333,3,6,0,3,9,Orthodox,172.72,172.72,155.0,33.0,15
50,Jussier Formiga,0,3,10.75,0.166666667,15.25,1.4166666669999999,36.5,3,4,0,0,8,Orthodox,165.1,170.18,125.0,33.0,12
53,Marlon Vera,0,2,19.3,0.4,37.1,0.6,42.7,3,4,0,2,6,Switch,172.72,177.8,135.0,26.0,10
54,Randa Markos,2,0,32.3,0.0,40.7,1.5,76.0,1,6,0,0,4,Orthodox,162.56,160.02,115.0,33.0,10
55,Leon Edwards,0,6,22.2,0.3,34.0,1.2,54.7,6,2,0,2,8,Southpaw,182.88,187.96,170.0,27.0,10
57,Jack Marshman,2,0,21.2,0.6,29.0,0.0,35.6,1,3,0,1,2,Orthodox,182.88,185.42,185.0,29.0,5
59,Marc Diakiese,2,0,16.0,0.2,27.4,1.4,39.2,3,2,0,2,3,Orthodox,177.8,185.42,155.0,25.0,5
61,Elizeu Zaleski dos Santos,0,6,34.28571429,0.28571428600000004,51.42857143,0.28571428600000004,56.42857143,6,1,0,3,6,Orthodox,180.34,185.42,170.0,32.0,7
63,Beneil Dariush,0,1,21.42857143,0.28571428600000004,37.0,0.9285714290000001,48.21428571,5,5,0,1,9,Southpaw,177.8,182.88,155.0,29.0,14
64,Anthony Rocco Martin,0,3,25.54545455,0.181818182,32.81818182,0.727272727,46.36363636,3,4,0,1,7,Orthodox,182.88,185.42,170.0,29.0,11
65,Alex Morono,0,1,39.0,0.28571428600000004,51.71428571,0.0,63.42857143,2,3,0,0,4,Orthodox,180.34,182.88,170.0,28.0,7
66,Alex White,2,0,24.625,0.5,40.875,0.625,54.5,1,5,0,2,3,Southpaw,182.88,180.34,155.0,30.0,8
67,Jon Jones,0,1,31.57894737,0.263157895,61.84210526,1.947368421,75.31578947,13,2,12,5,17,Orthodox,193.04,213.36,205.0,31.0,19
69,Diego Sanchez,0,1,24.07142857,0.214285714,33.75,1.107142857,45.53571429,6,11,2,5,17,Southpaw,177.8,182.88,170.0,37.0,28
70,Stefan Struve,3,0,13.71428571,0.14285714300000002,24.71428571,0.28571428600000004,33.23809524,4,9,0,5,12,Orthodox,210.82,213.36,265.0,31.0,21
71,Liz Carmouche,0,1,20.0,0.0,35.25,2.75,96.75,2,4,1,1,4,Orthodox,167.64,167.64,125.0,35.0,8
75,Francis Ngannou,0,1,11.44444444,0.444444444,14.33333333,0.0,19.11111111,6,2,1,5,7,Orthodox,193.04,210.82,250.0,32.0,9
76,Vicente Luque,0,3,15.0,0.5555555560000001,25.0,0.666666667,32.55555556,4,2,0,4,7,Orthodox,180.34,190.5,170.0,27.0,9
77,Andre Fili,1,0,28.54545455,0.272727273,41.72727273,2.090909091,51.81818182,2,5,0,2,6,Orthodox,180.34,187.96,145.0,28.0,11
79,Lando Vannata,4,0,31.33333333,0.833333333,57.83333333,1.166666667,64.66666667,1,5,0,1,1,Orthodox,175.26,180.34,155.0,26.0,6
84,Jose Aldo,0,1,42.5,0.333333333,56.66666667,1.0,66.16666667,7,3,11,3,9,Orthodox,170.18,177.8,145.0,32.0,12
85,Demian Maia,3,0,18.57142857,0.035714286,22.92857143,2.142857143,56.03571429,7,9,2,1,19,Southpaw,185.42,182.88,170.0,41.0,28
86,Charles Oliveira,0,3,10.68181818,0.090909091,20.22727273,1.318181818,31.04545455,4,9,0,0,13,Orthodox,177.8,187.96,155.0,29.0,22
91,Thiago Alves,2,0,20.41666667,0.541666667,39.66666667,0.541666667,53.33333333,7,10,1,7,14,Orthodox,175.26,177.8,170.0,35.0,24
92,Henry Cejudo,0,3,24.66666667,0.333333333,46.88888889,2.111111111,74.77777778,4,2,2,1,7,Orthodox,162.56,162.56,135.0,31.0,9
93,Gregor Gillespie,0,5,20.6,0.4,23.2,3.4,44.8,5,0,0,2,5,Orthodox,170.18,180.34,155.0,32.0,5
94,Joseph Benavidez,0,1,26.375,0.25,47.3125,1.0625,57.9375,6,3,2,4,13,Southpaw,162.56,165.1,125.0,34.0,16
